chr,start,end,name,score,strand,gc,gc_bin,chrom,feature_id,feature_bin,feature_type_top,feature_types,gene_name,gene_id,transcript_ids,gene_type_top,transcript_type_top,gene_types,transcript_types,input_sum,clip_sum,enrichment_n,enrichment_l2or_min,enrichment_l2or_mean,enrichment_l2or_max,p_max,p_min,q_max,q_min,symbol,expression,unique_ID,tscript_start,tscript_end,tscript_length
chr17,67911164,67911261,4719578,0,+,0.402062,"(0.382,0.41]",chr17,502874,4,CDS,CDS:EXON_MRNA,BPTF,ENSG00000171634.19,ENST00000306378.11:ENST00000582467.2:ENST00000544778.6:ENST00000424123.7,protein_coding,protein_coding,protein_coding,protein_coding,1,33,2,4.04402,4.45993,4.87584,0.0024066,5.96725e-05,0.0429369,0.00180543,BPTF,up,BPTF_4719578,67825503,67984378,158875
chr4,56930032,56930128,1393876,0,+,0.364583,"(0.354,0.382]",chr4,151796,3,CDS,CDS:EXON_MRNA:INTRON,REST,ENSG00000084093.19,ENST00000309042.12:ENST00000611211.2,protein_coding,protein_coding,protein_coding,protein_coding:nonsense_mediated_decay,1,34,2,4.13523,4.459515,4.7838,0.00367092,3.03171e-05,0.0491718,0.00110821,REST,up,REST_1393876,56909190,56935822,26632
chr3,170395165,170395264,1108681,0,+,0.323232,"(0.29,0.327]",chr3,124599,29,UTR3,UTR3:EXON_MRNA,SKIL,ENSG00000136603.15,ENST00000465590.2:ENST00000259119.9,protein_coding,protein_coding,protein_coding,protein_coding,1,42,2,3.61544,4.45534,5.29524,0.00165905,0.000479243,0.0386976,0.00705991,SKIL,up,SKIL_1108681,170357342,170396835,39493
chr1,211571958,211572056,471656,0,-,0.285714,"[0,0.29]",chr1,58271,5,UTR3,UTR3:EXON_MRNA,SLC30A1,ENSG00000170385.10,ENST00000367001.5,protein_coding,protein_coding,protein_coding,protein_coding,0,26,2,4.34778,4.452325,4.55687,0.0403961,0.00122071,0.114819,0.0130782,SLC30A1,up,SLC30A1_471656,211571568,211579161,7593
chr20,36049937,36050036,5262175,0,-,0.424242,"(0.41,0.442]",chr20,581102,45,EXON_LNCRNA,EXON_LNCRNA,NORAD,ENSG00000260032.3,ENST00000565493.2:ENST00000796928.1:ENST00000796930.1,lncRNA,lncRNA,lncRNA,lncRNA,2,40,2,3.79286,4.45049,5.10812,0.000841089,1.8014e-05,0.0302816,0.000781135,NORAD,up,NORAD_5262175,36045618,36051018,5400
chr6,75254412,75254512,2137718,0,-,0.32,"(0.29,0.327]",chr6,222387,16,UTR3,UTR3:EXON_MRNA,TMEM30A,ENSG00000112697.17,ENST00000230461.11,protein_coding,protein_coding,protein_coding,protein_coding,0,25,2,4.29875,4.448840000000001,4.59893,0.0131085,0.00252243,0.0784296,0.0209628,TMEM30A,up,TMEM30A_2137718,75252924,75284792,31868
chr3,197783904,197784004,1140756,0,+,0.26,"[0,0.29]",chr3,128006,21,UTR3,UTR3:EXON_MRNA,FYTTD1,ENSG00000122068.13,ENST00000241502.9,protein_coding,protein_coding,protein_coding,protein_coding,1,46,2,3.68092,4.447945,5.21497,0.00515651,0.000326625,0.0560496,0.00550177,FYTTD1,up,FYTTD1_1140756,197749883,197787596,37713
chr9,93565424,93565522,2872841,0,+,0.285714,"[0,0.29]",chr9,288610,10,UTR3,UTR3:EXON_MRNA,FAM120A,ENSG00000048828.18,ENST00000277165.11:ENST00000698944.1,protein_coding,protein_coding,protein_coding,protein_coding,1,46,2,3.68092,4.447945,5.21497,0.00515651,0.000326625,0.0560496,0.00550177,FAM120A,up,FAM120A_2872841,93451685,93566112,114427
chr10,110899430,110899526,3150817,0,+,0.34375,"(0.327,0.354]",chr10,319237,15,UTR3,UTR3:EXON_MRNA,PDCD4,ENSG00000150593.18,ENST00000393104.6:ENST00000280154.12,protein_coding,protein_coding,protein_coding,protein_coding,0,23,2,4.2882,4.443395,4.59859,0.00747505,0.00231617,0.0638716,0.0198241,PDCD4,up,PDCD4_3150817,110871795,110900005,28210
chr1,184691707,184691805,457014,0,-,0.316327,"(0.29,0.327]",chr1,56009,16,UTR3,UTR3:EXON_MRNA,EDEM3,ENSG00000116406.20,ENST00000318130.13:ENST00000367512.8:ENST00000687397.1,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron,0,24,2,4.42627,4.443384999999999,4.4605,0.0200466,0.00132813,0.0919966,0.0136022,EDEM3,up,EDEM3_457014,184690237,184754858,64621
chr4,185190809,185190905,1596358,0,-,0.3125,"(0.29,0.327]",chr4,170405,8,CDS,CDS:EXON_MRNA,CFAP97,ENSG00000164323.15,ENST00000458385.7:ENST00000514798.1,protein_coding,protein_coding,protein_coding,protein_coding,0,24,2,4.42627,4.443384999999999,4.4605,0.0200466,0.00132813,0.0919966,0.0136022,CFAP97,up,CFAP97_1596358,185159665,185204000,44335
chr17,67909581,67909671,4719561,0,+,0.288889,"[0,0.29]",chr17,502868,1,CDS,CDS:EXON_MRNA,BPTF,ENSG00000171634.19,ENST00000306378.11:ENST00000582467.2:ENST00000544778.6:ENST00000424123.7,protein_coding,protein_coding,protein_coding,protein_coding,1,45,2,3.82911,4.442615,5.05612,0.00795455,0.000148559,0.0648005,0.00327957,BPTF,up,BPTF_4719561,67825503,67984378,158875
chr17,61945872,61945971,4841758,0,-,0.30303,"(0.29,0.327]",chr17,520580,34,UTR3,UTR3:EXON_MRNA,MED13,ENSG00000108510.10,ENST00000397786.7,protein_coding,protein_coding,protein_coding,protein_coding,0,26,2,4.11654,4.434825,4.75311,0.00871715,0.0048872,0.0692815,0.0321773,MED13,up,MED13_4841758,61942605,62065278,122673
chr11,17169544,17169641,3446349,0,-,0.43299,"(0.41,0.442]",chr11,352682,10,CDS,CDS:EXON_MRNA,PIK3C2A,ENSG00000011405.14,ENST00000691414.1:ENST00000533645.1,protein_coding,protein_coding,protein_coding,protein_coding:nonsense_mediated_decay,1,31,2,4.38937,4.43456,4.47975,0.00727668,6.56992e-06,0.0637623,0.00040056,PIK3C2A,up,PIK3C2A_3446349,17086575,17207986,121411
chr2,47832348,47832417,793443,0,-,0.391304,"(0.382,0.41]",chr2,91076,1,CDS,CDS:EXON_MRNA,FBXO11,ENSG00000138081.22,ENST00000684712.1:ENST00000403359.8:ENST00000683894.1:ENST00000681999.1:ENST00000684085.1:ENST00000493962.6:ENST00000492225.5,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron:protein_coding_CDS_not_defined,1,32,2,4.318,4.432925,4.54785,0.00688992,9.91497e-06,0.0621975,0.000532008,FBXO11,up,FBXO11_793443,47806920,47906498,99578
chr6,63685359,63685454,1983721,0,+,0.347368,"(0.327,0.354]",chr6,208201,14,CDS,CDS:EXON_MRNA,PHF3,ENSG00000118482.12,ENST00000262043.8:ENST00000481385.6:ENST00000509330.5:ENST00000393387.5,protein_coding,protein_coding,protein_coding,protein_coding,0,21,2,4.08484,4.432645,4.78045,0.0281384,0.000263187,0.103609,0.00477378,PHF3,up,PHF3_1983721,63635802,63726011,90209
chr3,170392515,170392613,1108654,0,+,0.255102,"[0,0.29]",chr3,124599,2,UTR3,UTR3:EXON_MRNA,SKIL,ENSG00000136603.15,ENST00000465590.2:ENST00000259119.9,protein_coding,protein_coding,protein_coding,protein_coding,1,46,2,3.6007,4.432475,5.26425,0.00448373,0.00048972,0.0541709,0.00716161,SKIL,up,SKIL_1108654,170357342,170396835,39493
chr4,99868185,99868280,1420177,0,+,0.494737,"(0.48,0.52]",chr4,153755,1,UTR3,UTR3:EXON_MRNA,DAPP1,ENSG00000070190.13,ENST00000512369.2:ENST00000514301.1,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron,0,19,2,4.28412,4.432145,4.58017,0.00320958,0.00262632,0.0478623,0.0212402,DAPP1,up,DAPP1_1420177,99816833,99870154,53321
chr1,65413809,65413907,93734,0,+,0.326531,"(0.29,0.327]",chr1,11842,9,UTR3,UTR3:EXON_MRNA,DNAJC6,ENSG00000116675.16,ENST00000395325.7,protein_coding,protein_coding,protein_coding,protein_coding,0,23,2,4.00301,4.431039999999999,4.85907,0.0496072,0.000216008,0.124289,0.00418969,DNAJC6,up,DNAJC6_93734,65309543,65415871,106328
chr14,77336911,77337010,4146637,0,-,0.313131,"(0.29,0.327]",chr14,432414,20,UTR3,UTR3:EXON_MRNA,TMED8,ENSG00000100580.8,ENST00000216468.8,protein_coding,protein_coding,protein_coding,protein_coding,0,23,2,4.00301,4.431039999999999,4.85907,0.0496072,0.000216008,0.124289,0.00418969,TMED8,up,TMED8_4146637,77335029,77377094,42065
chr5,132693994,132694092,1849674,0,-,0.295918,"(0.29,0.327]",chr5,194181,15,UTR3,UTR3:EXON_MRNA,KIF3A,ENSG00000131437.16,ENST00000378746.8,protein_coding,protein_coding,protein_coding,protein_coding,0,23,2,4.00301,4.431039999999999,4.85907,0.0496072,0.000216008,0.124289,0.00418969,KIF3A,up,KIF3A_1849674,132692628,132737638,45010
chr4,13608529,13608598,1482159,0,-,0.289855,"[0,0.29]",chr4,160344,1,CDS,CDS:EXON_MRNA,BOD1L1,ENSG00000038219.13,ENST00000040738.10:ENST00000507943.2,protein_coding,protein_coding,protein_coding,protein_coding,0,26,2,4.42548,4.43097,4.43646,0.0338457,0.00205661,0.110571,0.0184918,BOD1L1,up,BOD1L1_1482159,13568738,13627725,58987
chr5,132693408,132693506,1849668,0,-,0.22449,"[0,0.29]",chr5,194181,9,UTR3,UTR3:EXON_MRNA,KIF3A,ENSG00000131437.16,ENST00000378746.8,protein_coding,protein_coding,protein_coding,protein_coding,0,26,2,4.42548,4.43097,4.43646,0.0338457,0.00205661,0.110571,0.0184918,KIF3A,up,KIF3A_1849668,132692628,132737638,45010
chr18,21574647,21574743,4948923,0,-,0.354167,"(0.327,0.354]",chr18,531667,15,CDS,CDS:EXON_MRNA,ESCO1,ENSG00000141446.12,ENST00000383276.2:ENST00000269214.10,protein_coding,protein_coding,protein_coding,protein_coding:nonsense_mediated_decay,0,21,2,3.8141,4.424405,5.03471,0.049979,6.86697e-05,0.124289,0.00191069,ESCO1,up,ESCO1_4948923,21529284,21600704,71420
chr7,108514997,108515091,2512134,0,-,0.308511,"(0.29,0.327]",chr7,256924,7,CDS,CDS:EXON_MRNA:INTRON,PNPLA8,ENSG00000135241.17,ENST00000257694.13:ENST00000436062.5:ENST00000453085.1:ENST00000489738.1,protein_coding,protein_coding,protein_coding,protein_coding:protein_coding_CDS_not_defined,0,23,2,3.87448,4.422595,4.97071,0.0630349,0.000121829,0.137004,0.00288426,PNPLA8,up,PNPLA8_2512134,108470417,108526135,55718
chrX,153351539,153351638,5548284,0,+,0.313131,"(0.29,0.327]",chrX,614977,37,UTR3,UTR3:EXON_MRNA,ZNF275,ENSG00000063587.15,ENST00000650114.2,protein_coding,protein_coding,protein_coding,protein_coding,1,43,2,3.40017,4.419345,5.43852,0.00134616,0.0010077,0.0316476,0.0136022,ZNF275,up,ZNF275_5548284,153334153,153352926,18773
chr19,7085708,7085806,4999051,0,+,0.346939,"(0.327,0.354]",chr19,537765,21,UTR3,UTR3:EXON_MRNA,ZNF557,ENSG00000130544.12,ENST00000252840.11,protein_coding,protein_coding,protein_coding,protein_coding,0,21,2,4.20327,4.41877,4.63427,0.0213269,0.000531217,0.0939121,0.00760204,ZNF557,up,ZNF557_4999051,7069703,7087968,18265
chr7,105077302,105077367,2353047,0,+,0.307692,"(0.29,0.327]",chr7,242079,1,CDS,CDS:EXON_MRNA,KMT2E,ENSG00000005483.23,ENST00000257745.9:ENST00000479838.3:ENST00000334884.9:ENST00000311117.8:ENST00000473063.2:ENST00000474203.6:ENST00000476671.5:ENST00000478079.2:ENST00000496191.1,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron:nonsense_mediated_decay,0,23,2,4.23011,4.418025,4.60594,0.0312223,0.000712522,0.107317,0.00920755,KMT2E,up,KMT2E_2353047,105014205,105115019,100814
chr2,206311983,206312081,706359,0,+,0.265306,"[0,0.29]",chr2,80909,5,UTR3,UTR3:EXON_MRNA,ZDBF2,ENSG00000204186.11,ENST00000374423.9:ENST00000649650.1:ENST00000649285.1,protein_coding,protein_coding,protein_coding,protein_coding:nonsense_mediated_decay,0,25,2,4.04346,4.415934999999999,4.78841,0.0702659,0.000447821,0.14152,0.00683932,ZDBF2,up,ZDBF2_706359,206274689,206314427,39738
chr5,100810175,100810273,1831012,0,-,0.193878,"[0,0.29]",chr5,193109,34,UTR3,UTR3:EXON_MRNA,ST8SIA4,ENSG00000113532.13,ENST00000231461.10,protein_coding,protein_coding,protein_coding,protein_coding,0,25,2,4.15219,4.414735,4.67728,0.0581956,0.000734569,0.133139,0.00927533,ST8SIA4,up,ST8SIA4_1831012,100806933,100903282,96349
chr6,108684279,108684378,2014149,0,+,0.242424,"[0,0.29]",chr6,210340,46,UTR3,UTR3:EXON_MRNA,FOXO3,ENSG00000118689.15,ENST00000343882.10,protein_coding,protein_coding,protein_coding,protein_coding,0,25,2,4.15219,4.414735,4.67728,0.0581956,0.000734569,0.133139,0.00927533,FOXO3,up,FOXO3_2014149,108559835,108684774,124939
chr2,174560446,174560543,900212,0,-,0.340206,"(0.327,0.354]",chr2,102089,10,UTR3,UTR3:EXON_MRNA,WIPF1,ENSG00000115935.19,ENST00000392547.6:ENST00000698668.1:ENST00000679041.1:ENST00000436221.2:ENST00000698666.1,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron,2,44,2,3.60638,4.413615,5.22085,0.000944957,4.53012e-05,0.0303997,0.00148095,WIPF1,up,WIPF1_900212,174559574,174597804,38230
chr3,183679135,183679186,1119433,0,+,0.45098,"(0.442,0.48]",chr3,125822,2,CDS,CDS:EXON_MRNA,KLHL24,ENSG00000114796.16,ENST00000242810.11:ENST00000454652.6,protein_coding,protein_coding,protein_coding,protein_coding,0,18,2,4.20014,4.412565000000001,4.62499,0.0128039,0.000564854,0.0784296,0.00793438,KLHL24,up,KLHL24_1119433,183635623,183684477,48854
chr13,42300242,42300340,3868518,0,+,0.326531,"(0.29,0.327]",chr13,404249,10,CDS,CDS:EXON_MRNA,AKAP11,ENSG00000023516.9,ENST00000025301.4,protein_coding,protein_coding,protein_coding,protein_coding,1,51,2,3.10361,4.407185,5.71076,0.00762231,1.26713e-06,0.0646157,0.000135636,AKAP11,up,AKAP11_3868518,42272152,42323261,51109
chr12,92773920,92774019,3776781,0,-,0.373737,"(0.354,0.382]",chr12,393806,34,UTR3,UTR3:EXON_MRNA,EEA1,ENSG00000102189.17,ENST00000322349.13,protein_coding,protein_coding,protein_coding,protein_coding,0,21,2,3.50127,4.404715,5.30816,0.0827335,1.28221e-05,0.151315,0.000619528,EEA1,up,EEA1_3776781,92770637,92929295,158658
chr6,118907808,118907905,2021949,0,+,0.216495,"[0,0.29]",chr6,211135,3,UTR3,UTR3:EXON_MRNA,ASF1A,ENSG00000111875.8,ENST00000229595.6,protein_coding,protein_coding,protein_coding,protein_coding,0,26,2,4.28092,4.400455,4.51999,0.0284581,0.00351556,0.103609,0.0258079,ASF1A,up,ASF1A_2021949,118894152,118909171,15019
chr2,174560835,174560932,900216,0,-,0.28866,"[0,0.29]",chr2,102089,14,UTR3,UTR3:EXON_MRNA,WIPF1,ENSG00000115935.19,ENST00000392547.6:ENST00000698668.1:ENST00000679041.1:ENST00000436221.2:ENST00000698666.1:ENST00000272746.9,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron,1,62,2,3.27448,4.4001850000000005,5.52589,0.00596315,8.50834e-06,0.0587559,0.000476895,WIPF1,up,WIPF1_900216,174559574,174597804,38230
chr3,88140462,88140559,1035825,0,+,0.360825,"(0.354,0.382]",chr3,118114,19,CDS,CDS:EXON_MRNA,ZNF654,ENSG00000175105.8,ENST00000636215.2,protein_coding,protein_coding,protein_coding,protein_coding,0,20,2,4.10626,4.398535,4.69081,0.0242841,0.000396398,0.0973574,0.00630502,ZNF654,up,ZNF654_1035825,88059255,88144660,85405
chr4,73576034,73576134,1520742,0,-,0.32,"(0.29,0.327]",chr4,163898,46,UTR3,UTR3:EXON_MRNA,RASSF6,ENSG00000169435.14,ENST00000307439.10:ENST00000342081.7:ENST00000395777.6,protein_coding,protein_coding,protein_coding,protein_coding,3,58,2,3.35796,4.39824,5.43852,0.0010077,2.961e-05,0.0316476,0.00110723,RASSF6,up,RASSF6_1520742,73571550,73620436,48886
chr9,93565719,93565817,2872844,0,+,0.326531,"(0.29,0.327]",chr9,288610,13,UTR3,UTR3:EXON_MRNA,FAM120A,ENSG00000048828.18,ENST00000277165.11:ENST00000698944.1,protein_coding,protein_coding,protein_coding,protein_coding,0,23,2,4.33152,4.39601,4.4605,0.0249585,0.00132813,0.0973574,0.0136022,FAM120A,up,FAM120A_2872844,93451685,93566112,114427
chr1,184717539,184717623,457282,0,-,0.380952,"(0.354,0.382]",chr1,56058,1,CDS,CDS:EXON_MRNA,EDEM3,ENSG00000116406.20,ENST00000318130.13:ENST00000367512.8:ENST00000687397.1:ENST00000689946.1,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron,0,21,2,4.34412,4.39012,4.43612,0.0104272,0.00182335,0.0726393,0.0168534,EDEM3,up,EDEM3_457282,184690237,184754858,64621
chr13,97392437,97392536,3897705,0,+,0.282828,"[0,0.29]",chr13,406510,11,UTR3,UTR3:EXON_MRNA,MBNL2,ENSG00000139793.21,ENST00000343600.9,protein_coding,protein_coding,protein_coding,protein_coding,1,43,2,3.96349,4.388155,4.81282,0.0146973,6.95075e-05,0.0818428,0.00191069,MBNL2,up,MBNL2_3897705,97222006,97394116,172110
chr3,197782906,197783006,1140746,0,+,0.21,"[0,0.29]",chr3,128006,11,UTR3,UTR3:EXON_MRNA,FYTTD1,ENSG00000122068.13,ENST00000241502.9,protein_coding,protein_coding,protein_coding,protein_coding,2,103,2,3.82634,4.3870450000000005,4.94775,0.000936977,7.03288e-08,0.0303997,1.98882e-05,FYTTD1,up,FYTTD1_1140746,197749883,197787596,37713
chr13,42320014,42320113,3868721,0,+,0.222222,"[0,0.29]",chr13,404281,9,UTR3,UTR3:EXON_MRNA,AKAP11,ENSG00000023516.9,ENST00000025301.4,protein_coding,protein_coding,protein_coding,protein_coding,0,25,2,4.34778,4.38663,4.42548,0.0403961,0.00205661,0.114819,0.0184918,AKAP11,up,AKAP11_3868721,42272152,42323261,51109
chr7,92002538,92002638,2331994,0,+,0.26,"[0,0.29]",chr7,238961,18,CDS,CDS:EXON_MRNA,AKAP9,ENSG00000127914.19,ENST00000681412.1:ENST00000679722.1:ENST00000680074.1:ENST00000493453.1:ENST00000359028.7,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron:protein_coding_CDS_not_defined,0,25,2,4.34778,4.38663,4.42548,0.0403961,0.00205661,0.114819,0.0184918,AKAP9,up,AKAP9_2331994,91940878,92110640,169762
chr8,66631936,66632035,2721007,0,-,0.262626,"[0,0.29]",chr8,276137,36,UTR3,UTR3:EXON_MRNA,VCPIP1,ENSG00000175073.8,ENST00000310421.5,protein_coding,protein_coding,protein_coding,protein_coding,0,25,2,4.34778,4.38663,4.42548,0.0403961,0.00205661,0.114819,0.0184918,VCPIP1,up,VCPIP1_2721007,66628487,66667231,38744
chr5,132696242,132696339,1849697,0,-,0.278351,"[0,0.29]",chr5,194181,38,UTR3,UTR3:EXON_MRNA,KIF3A,ENSG00000131437.16,ENST00000378746.8:ENST00000378735.5,protein_coding,protein_coding,protein_coding,protein_coding,1,43,2,4.02626,4.38563,4.745,0.0172565,4.8027e-05,0.0867955,0.00150802,KIF3A,up,KIF3A_1849697,132692628,132737638,45010
chr1,65413711,65413809,93733,0,+,0.357143,"(0.354,0.382]",chr1,11842,8,UTR3,UTR3:EXON_MRNA,DNAJC6,ENSG00000116675.16,ENST00000395325.7,protein_coding,protein_coding,protein_coding,protein_coding,0,20,2,3.6779,4.38486,5.09182,0.0601921,4.76803e-05,0.134039,0.00150741,DNAJC6,up,DNAJC6_93733,65309543,65415871,106328
chr1,198755905,198755993,202615,0,+,0.397727,"(0.382,0.41]",chr1,25191,1,CDS,CDS:EXON_MRNA,PTPRC,ENSG00000081237.22,ENST00000348564.12:ENST00000442510.8:ENST00000491302.2,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron,0,19,2,3.85143,4.38011,4.90879,0.040155,0.000128882,0.114819,0.00298906,PTPRC,up,PTPRC_202615,198639040,198757476,118436
chr1,113814705,113814804,393398,0,-,0.282828,"[0,0.29]",chr1,47110,10,UTR3,UTR3:EXON_MRNA,PTPN22,ENSG00000134242.16,ENST00000359785.10:ENST00000538253.5,protein_coding,protein_coding,protein_coding,protein_coding,1,43,2,3.75692,4.37798,4.99904,0.00923679,0.00021948,0.0698257,0.00421885,PTPN22,up,PTPN22_393398,113813811,113871712,57901
chr3,170395264,170395362,1108682,0,+,0.295918,"(0.29,0.327]",chr3,124599,30,UTR3,UTR3:EXON_MRNA,SKIL,ENSG00000136603.15,ENST00000465590.2:ENST00000259119.9,protein_coding,protein_coding,protein_coding,protein_coding,1,40,2,3.51182,4.377975,5.24413,0.00196982,0.000798954,0.0403571,0.0098375,SKIL,up,SKIL_1108682,170357342,170396835,39493
chr8,38973415,38973514,2602599,0,+,0.40404,"(0.382,0.41]",chr8,264989,29,UTR3,UTR3:EXON_MRNA,PLEKHA2,ENSG00000169499.15,ENST00000617275.5,protein_coding,protein_coding,protein_coding,protein_coding,0,19,2,3.9934,4.37776,4.76212,0.0294102,0.000275102,0.104044,0.00486002,PLEKHA2,up,PLEKHA2_2602599,38901346,38973912,72566
chr4,185459373,185459469,1596918,0,-,0.375,"(0.354,0.382]",chr4,170493,14,CDS,CDS:EXON_MRNA,CCDC110,ENSG00000168491.10,ENST00000307588.8:ENST00000510617.5,protein_coding,protein_coding,protein_coding,protein_coding,0,22,2,4.13351,4.37696,4.62041,0.00611895,0.00406644,0.0590321,0.0282226,CCDC110,up,CCDC110_1596918,185445182,185471733,26551
chr4,73585271,73585364,1520840,0,-,0.462366,"(0.442,0.48]",chr4,163921,2,CDS,CDS:EXON_MRNA,RASSF6,ENSG00000169435.14,ENST00000307439.10:ENST00000342081.7:ENST00000395777.6,protein_coding,protein_coding,protein_coding,protein_coding,0,17,2,3.92797,4.36914,4.81031,0.0257287,0.000228167,0.09833,0.00434147,RASSF6,up,RASSF6_1520840,73571550,73620436,48886
chr5,103194899,103194962,1679773,0,+,0.333333,"(0.327,0.354]",chr5,178370,1,CDS,CDS:EXON_MRNA,PPIP5K2,ENSG00000145725.21,ENST00000321521.13:ENST00000698750.1:ENST00000613674.4:ENST00000509597.5:ENST00000504083.1,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron,0,20,2,3.95581,4.36813,4.78045,0.0373714,0.000263187,0.11429,0.00477378,PPIP5K2,up,PPIP5K2_1679773,103120200,103212799,92599
chr5,122827574,122827646,1697887,0,+,0.333333,"(0.327,0.354]",chr5,179875,1,CDS,CDS:EXON_MRNA,SNX2,ENSG00000205302.7,ENST00000379516.7:ENST00000514949.1:ENST00000510372.5:ENST00000507852.1,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron:protein_coding_CDS_not_defined,0,20,2,3.95581,4.36813,4.78045,0.0373714,0.000263187,0.11429,0.00477378,SNX2,up,SNX2_1697887,122775080,122834543,59463
chr4,185190619,185190714,1596356,0,-,0.410526,"(0.41,0.442]",chr4,170405,6,CDS,CDS:EXON_MRNA,CFAP97,ENSG00000164323.15,ENST00000458385.7:ENST00000514798.1,protein_coding,protein_coding,protein_coding,protein_coding,1,38,2,3.20154,4.3667,5.53186,0.00390604,2.70155e-06,0.0512204,0.000222767,CFAP97,up,CFAP97_1596356,185159665,185204000,44335
chr6,87261601,87261701,2002158,0,+,0.35,"(0.327,0.354]",chr6,209489,71,CDS,CDS:UTR3:EXON_MRNA,ZNF292,ENSG00000188994.14,ENST00000369577.8:ENST00000339907.8:ENST00000466062.3,protein_coding,protein_coding,protein_coding,protein_coding,0,20,2,3.8141,4.363635,4.91317,0.049979,0.000133129,0.124289,0.00300369,ZNF292,up,ZNF292_2002158,87155565,87265943,110378
chr1,236900317,236900416,242929,0,+,0.30303,"(0.29,0.327]",chr1,29687,28,UTR3,UTR3:EXON_MRNA:INTRON,MTR,ENSG00000116984.15,ENST00000366577.10:ENST00000679569.1:ENST00000650888.1:ENST00000681937.1:ENST00000470570.2,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron:nonsense_mediated_decay,0,22,2,4.12102,4.36348,4.60594,0.0392532,0.000712522,0.114819,0.00920755,MTR,up,MTR_242929,236795292,236903981,108689
chr12,62383918,62383998,3616435,0,+,0.3125,"(0.29,0.327]",chr12,373344,2,CDS,CDS:EXON_MRNA,USP15,ENSG00000135655.16,ENST00000280377.10:ENST00000549268.1,protein_coding,protein_coding,protein_coding,protein_coding:retained_intron,0,22,2,4.12102,4.36348,4.60594,0.0392532,0.000712522,0.114819,0.00920755,USP15,up,USP15_3616435,62260404,62416389,155985
chr14,77339489,77339588,4146663,0,-,0.292929,"(0.29,0.327]",chr14,432414,46,UTR3,UTR3:EXON_MRNA,TMED8,ENSG00000100580.8,ENST00000216468.8,protein_coding,protein_coding,protein_coding,protein_coding,0,22,2,4.12102,4.36348,4.60594,0.0392532,0.000712522,0.114819,0.00920755,TMED8,up,TMED8_4146663,77335029,77377094,42065
chr18,20950387,20950486,4946801,0,-,0.292929,"(0.29,0.327]",chr18,531423,59,UTR3,UTR3:EXON_MRNA,ROCK1,ENSG00000067900.9,ENST00000635540.2:ENST00000399799.3,protein_coding,protein_coding,protein_coding,protein_coding:nonsense_mediated_decay,0,22,2,4.12102,4.36348,4.60594,0.0392532,0.000712522,0.114819,0.00920755,ROCK1,up,ROCK1_4946801,20946906,21111813,164907
chr5,112840938,112841038,1688127,0,+,0.3,"(0.29,0.327]",chr5,178957,35,CDS,CDS:UTR3:EXON_MRNA,APC,ENSG00000134982.19,ENST00000505350.2:ENST00000504915.3,protein_coding,protein_coding,protein_coding,protein_coding:nonsense_mediated_decay,0,22,2,4.12102,4.36348,4.60594,0.0392532,0.000712522,0.114819,0.00920755,APC,up,APC_1688127,112737885,112846239,108354
chr5,134725579,134725676,1707418,0,+,0.309278,"(0.29,0.327]",chr5,180913,6,UTR3,UTR3:EXON_MRNA,SEC24A,ENSG00000113615.13,ENST00000398844.7,protein_coding,protein_coding,protein_coding,protein_coding,0,22,2,4.12102,4.36348,4.60594,0.0392532,0.000712522,0.114819,0.00920755,SEC24A,up,SEC24A_1707418,134648785,134727909,79124
chr9,34086386,34086484,2954025,0,-,0.295918,"(0.29,0.327]",chr9,297979,1,UTR3,UTR3:EXON_MRNA,DCAF12,ENSG00000198876.13,ENST00000361264.9,protein_coding,protein_coding,protein_coding,protein_coding,1,37,2,4.0447,4.36139,4.67808,0.0106681,4.32668e-05,0.0727614,0.0014515,DCAF12,up,DCAF12_2954025,34086387,34126698,40311
chr6,63706028,63706126,1983937,0,+,0.387755,"(0.382,0.41]",chr6,208246,1,CDS,CDS:EXON_MRNA,PHF3,ENSG00000118482.12,ENST00000262043.8:ENST00000393387.5,protein_coding,protein_coding,protein_coding,protein_coding,0,19,2,4.12265,4.360735,4.59882,0.0217027,0.000601887,0.0939121,0.00823011,PHF3,up,PHF3_1983937,63635802,63726011,90209
chr11,128458863,128458963,3539719,0,-,0.29,"[0,0.29]",chr11,364792,2,UTR3,UTR3:EXON_MRNA,ETS1,ENSG00000134954.14,ENST00000319397.7,protein_coding,protein_coding,protein_coding,protein_coding,1,58,2,2.95939,4.36073,5.76207,0.0147481,1.83932e-06,0.0820592,0.000174999,ETS1,up,ETS1_3539719,128458765,128522310,63545
